match_id,league,country,season,date,home_team,away_team,home_team_goal,away_team_goal
1,Premier League,England,2018/2019,2018-09-27,Manchester United,Liverpool,3,0
2,Premier League,England,2018/2019,2018-08-13,Manchester United,Chelsea,0,0
3,Premier League,England,2018/2019,2018-12-19,Manchester United,Arsenal,3,2
4,Premier League,England,2018/2019,2018-12-04,Manchester United,Manchester City,0,0
5,Premier League,England,2018/2019,2018-11-23,Manchester United,Tottenham,1,1
6,Premier League,England,2018/2019,2018-10-11,Manchester United,Everton,1,0
7,Premier League,England,2018/2019,2018-09-22,Manchester United,Leicester City,1,1
8,Premier League,England,2018/2019,2018-09-14,Manchester United,West Ham,2,1
9,Premier League,England,2018/2019,2019-03-05,Manchester United,Newcastle,0,3
10,Premier League,England,2018/2019,2018-08-17,Liverpool,Manchester United,0,1
11,Premier League,England,2018/2019,2018-08-16,Liverpool,Chelsea,0,1
12,Premier League,England,2018/2019,2018-09-17,Liverpool,Arsenal,2,1
13,Premier League,England,2018/2019,2018-11-20,Liverpool,Manchester City,1,6
14,Premier League,England,2018/2019,2018-11-28,Liverpool,Tottenham,0,0
15,Premier League,England,2018/2019,2019-04-16,Liverpool,Everton,1,0
16,Premier League,England,2018/2019,2018-08-14,Liverpool,Leicester City,2,1
17,Premier League,England,2018/2019,2018-11-10,Liverpool,West Ham,1,2
18,Premier League,England,2018/2019,2019-03-03,Liverpool,Newcastle,0,4
19,Premier League,England,2018/2019,2018-11-21,Chelsea,Manchester United,1,2
20,Premier League,England,2018/2019,2019-03-18,Chelsea,Liverpool,0,1
21,Premier League,England,2018/2019,2018-12-21,Chelsea,Arsenal,3,0
22,Premier League,England,2018/2019,2018-08-04,Chelsea,Manchester City,4,1
23,Premier League,England,2018/2019,2018-10-21,Chelsea,Tottenham,0,0
24,Premier League,England,2018/2019,2019-03-05,Chelsea,Everton,0,1
25,Premier League,England,2018/2019,2019-01-22,Chelsea,Leicester City,2,2
26,Premier League,England,2018/2019,2018-12-21,Chelsea,West Ham,0,0
27,Premier League,England,2018/2019,2018-10-19,Chelsea,Newcastle,0,5
28,Premier League,England,2018/2019,2018-11-19,Arsenal,Manchester United,4,0
29,Premier League,England,2018/2019,2019-01-20,Arsenal,Liverpool,1,2
30,Premier League,England,2018/2019,2018-09-22,Arsenal,Chelsea,1,0
31,Premier League,England,2018/2019,2018-09-17,Arsenal,Manchester City,0,2
32,Premier League,England,2018/2019,2019-02-11,Arsenal,Tottenham,2,2
33,Premier League,England,2018/2019,2018-09-19,Arsenal,Everton,1,0
34,Premier League,England,2018/2019,2019-01-31,Arsenal,Leicester City,0,2
35,Premier League,England,2018/2019,2019-01-24,Arsenal,West Ham,2,0
36,Premier League,England,2018/2019,2018-12-14,Arsenal,Newcastle,2,2
37,Premier League,England,2018/2019,2018-08-23,Manchester City,Manchester United,2,2
38,Premier League,England,2018/2019,2019-03-24,Manchester City,Liverpool,2,0
39,Premier League,England,2018/2019,2018-10-03,Manchester City,Chelsea,2,1
40,Premier League,England,2018/2019,2019-02-10,Manchester City,Arsenal,1,1
41,Premier League,England,2018/2019,2018-09-10,Manchester City,Tottenham,1,1
42,Premier League,England,2018/2019,2018-12-29,Manchester City,Everton,2,2
43,Premier League,England,2018/2019,2019-02-02,Manchester City,Leicester City,1,0
44,Premier League,England,2018/2019,2018-11-07,Manchester City,West Ham,3,1
45,Premier League,England,2018/2019,2018-09-05,Manchester City,Newcastle,4,0
46,Premier League,England,2018/2019,2018-08-24,Tottenham,Manchester United,2,0
47,Premier League,England,2018/2019,2018-11-25,Tottenham,Liverpool,1,0
48,Premier League,England,2018/2019,2018-12-27,Tottenham,Chelsea,3,1
49,Premier League,England,2018/2019,2018-09-10,Tottenham,Arsenal,2,3
50,Premier League,England,2018/2019,2018-11-28,Tottenham,Manchester City,1,0
51,Premier League,England,2018/2019,2018-09-21,Tottenham,Everton,3,2
52,Premier League,England,2018/2019,2019-02-11,Tottenham,Leicester City,1,1
53,Premier League,England,2018/2019,2018-12-21,Tottenham,West Ham,0,1
54,Premier League,England,2018/2019,2019-03-21,Tottenham,Newcastle,4,5
55,Premier League,England,2018/2019,2019-02-03,Everton,Manchester United,2,0
56,Premier League,England,2018/2019,2018-10-23,Everton,Liverpool,3,0
57,Premier League,England,2018/2019,2019-02-06,Everton,Chelsea,2,3
58,Premier League,England,2018/2019,2019-01-29,Everton,Arsenal,2,4
59,Premier League,England,2018/2019,2018-11-16,Everton,Manchester City,3,2
60,Premier League,England,2018/2019,2018-12-15,Everton,Tottenham,1,1
61,Premier League,England,2018/2019,2018-09-06,Everton,Leicester City,2,1
62,Premier League,England,2018/2019,2018-10-27,Everton,West Ham,0,1
63,Premier League,England,2018/2019,2018-12-04,Everton,Newcastle,0,2
64,Premier League,England,2018/2019,2018-10-23,Leicester City,Manchester United,1,0
65,Premier League,England,2018/2019,2019-03-25,Leicester City,Liverpool,2,3
66,Premier League,England,2018/2019,2019-02-11,Leicester City,Chelsea,1,1
67,Premier League,England,2018/2019,2018-12-17,Leicester City,Arsenal,0,3
68,Premier League,England,2018/2019,2018-11-21,Leicester City,Manchester City,0,0
69,Premier League,England,2018/2019,2019-01-14,Leicester City,Tottenham,1,2
70,Premier League,England,2018/2019,2018-08-29,Leicester City,Everton,4,0
71,Premier League,England,2018/2019,2018-11-26,Leicester City,West Ham,2,0
72,Premier League,England,2018/2019,2018-08-17,Leicester City,Newcastle,0,0
73,Premier League,England,2018/2019,2019-01-09,West Ham,Manchester United,3,1
74,Premier League,England,2018/2019,2019-02-22,West Ham,Liverpool,0,1
75,Premier League,England,2018/2019,2018-12-16,West Ham,Chelsea,2,1
76,Premier League,England,2018/2019,2018-09-03,West Ham,Arsenal,3,0
77,Premier League,England,2018/2019,2018-11-17,West Ham,Manchester City,1,3
78,Premier League,England,2018/2019,2019-01-09,West Ham,Tottenham,2,4
79,Premier League,England,2018/2019,2018-11-17,West Ham,Everton,0,0
80,Premier League,England,2018/2019,2019-04-13,West Ham,Leicester City,0,0
81,Premier League,England,2018/2019,2019-02-19,West Ham,Newcastle,1,1
82,Premier League,England,2018/2019,2019-03-23,Newcastle,Manchester United,0,1
83,Premier League,England,2018/2019,2018-10-13,Newcastle,Liverpool,0,3
84,Premier League,England,2018/2019,2018-12-14,Newcastle,Chelsea,2,3
85,Premier League,England,2018/2019,2018-10-11,Newcastle,Arsenal,2,3
86,Premier League,England,2018/2019,2018-12-05,Newcastle,Manchester City,1,3
87,Premier League,England,2018/2019,2018-12-13,Newcastle,Tottenham,2,1
88,Premier League,England,2018/2019,2019-03-08,Newcastle,Everton,3,1
89,Premier League,England,2018/2019,2019-02-21,Newcastle,Leicester City,1,4
90,Premier League,England,2018/2019,2019-02-02,Newcastle,West Ham,1,1
91,La Liga,Spain,2018/2019,2018-11-21,Real Madrid,Barcelona,2,0
92,La Liga,Spain,2018/2019,2018-10-10,Real Madrid,Atletico Madrid,2,0
93,La Liga,Spain,2018/2019,2019-04-18,Real Madrid,Sevilla,1,2
94,La Liga,Spain,2018/2019,2019-04-10,Real Madrid,Valencia,0,2
95,La Liga,Spain,2018/2019,2018-09-16,Real Madrid,Villarreal,4,0
96,La Liga,Spain,2018/2019,2018-08-25,Real Madrid,Real Sociedad,2,1
97,La Liga,Spain,2018/2019,2018-09-26,Real Madrid,Athletic Bilbao,1,1
98,La Liga,Spain,2018/2019,2018-10-18,Real Madrid,Real Betis,0,0
99,La Liga,Spain,2018/2019,2018-10-21,Real Madrid,Getafe,4,0
100,La Liga,Spain,2018/2019,2019-03-05,Barcelona,Real Madrid,1,1
101,La Liga,Spain,2018/2019,2018-09-02,Barcelona,Atletico Madrid,1,3
102,La Liga,Spain,2018/2019,2019-02-14,Barcelona,Sevilla,3,2
103,La Liga,Spain,2018/2019,2019-02-12,Barcelona,Valencia,2,0
104,La Liga,Spain,2018/2019,2019-03-28,Barcelona,Villarreal,4,0
105,La Liga,Spain,2018/2019,2019-04-28,Barcelona,Real Sociedad,1,1
106,La Liga,Spain,2018/2019,2018-12-07,Barcelona,Athletic Bilbao,4,2
107,La Liga,Spain,2018/2019,2018-08-06,Barcelona,Real Betis,5,2
108,La Liga,Spain,2018/2019,2018-09-28,Barcelona,Getafe,0,3
109,La Liga,Spain,2018/2019,2018-12-15,Atletico Madrid,Real Madrid,2,3
110,La Liga,Spain,2018/2019,2019-01-22,Atletico Madrid,Barcelona,1,5
111,La Liga,Spain,2018/2019,2018-09-27,Atletico Madrid,Sevilla,2,1
112,La Liga,Spain,2018/2019,2018-12-29,Atletico Madrid,Valencia,2,2
113,La Liga,Spain,2018/2019,2019-03-11,Atletico Madrid,Villarreal,0,2
114,La Liga,Spain,2018/2019,2018-10-20,Atletico Madrid,Real Sociedad,3,2
115,La Liga,Spain,2018/2019,2019-03-21,Atletico Madrid,Athletic Bilbao,0,3
116,La Liga,Spain,2018/2019,2018-08-02,Atletico Madrid,Real Betis,0,0
117,La Liga,Spain,2018/2019,2018-12-13,Atletico Madrid,Getafe,1,1
118,La Liga,Spain,2018/2019,2019-04-14,Sevilla,Real Madrid,2,2
119,La Liga,Spain,2018/2019,2018-10-31,Sevilla,Barcelona,2,2
120,La Liga,Spain,2018/2019,2019-04-17,Sevilla,Atletico Madrid,2,1
121,La Liga,Spain,2018/2019,2018-09-24,Sevilla,Valencia,1,0
122,La Liga,Spain,2018/2019,2018-12-31,Sevilla,Villarreal,0,0
123,La Liga,Spain,2018/2019,2019-04-17,Sevilla,Real Sociedad,0,1
124,La Liga,Spain,2018/2019,2018-11-10,Sevilla,Athletic Bilbao,2,1
125,La Liga,Spain,2018/2019,2018-10-18,Sevilla,Real Betis,0,0
126,La Liga,Spain,2018/2019,2019-02-08,Sevilla,Getafe,0,0
127,La Liga,Spain,2018/2019,2018-10-22,Valencia,Real Madrid,0,0
128,La Liga,Spain,2018/2019,2018-08-01,Valencia,Barcelona,0,1
129,La Liga,Spain,2018/2019,2019-01-13,Valencia,Atletico Madrid,1,1
130,La Liga,Spain,2018/2019,2019-04-08,Valencia,Sevilla,2,2
131,La Liga,Spain,2018/2019,2018-08-10,Valencia,Villarreal,2,0
132,La Liga,Spain,2018/2019,2018-09-27,Valencia,Real Sociedad,0,1
133,La Liga,Spain,2018/2019,2019-02-02,Valencia,Athletic Bilbao,2,1
134,La Liga,Spain,2018/2019,2019-01-05,Valencia,Real Betis,1,2
135,La Liga,Spain,2018/2019,2018-12-01,Valencia,Getafe,0,1
136,La Liga,Spain,2018/2019,2018-08-30,Villarreal,Real Madrid,1,1
137,La Liga,Spain,2018/2019,2018-12-02,Villarreal,Barcelona,1,1
138,La Liga,Spain,2018/2019,2018-09-10,Villarreal,Atletico Madrid,4,0
139,La Liga,Spain,2018/2019,2018-09-13,Villarreal,Sevilla,3,0
140,La Liga,Spain,2018/2019,2019-04-06,Villarreal,Valencia,1,2
141,La Liga,Spain,2018/2019,2018-09-05,Villarreal,Real Sociedad,2,0
142,La Liga,Spain,2018/2019,2018-10-04,Villarreal,Athletic Bilbao,0,0
143,La Liga,Spain,2018/2019,2018-10-05,Villarreal,Real Betis,0,0
144,La Liga,Spain,2018/2019,2019-04-01,Villarreal,Getafe,1,1
145,La Liga,Spain,2018/2019,2018-10-24,Real Sociedad,Real Madrid,1,1
146,La Liga,Spain,2018/2019,2018-12-14,Real Sociedad,Barcelona,4,0
147,La Liga,Spain,2018/2019,2019-04-28,Real Sociedad,Atletico Madrid,3,0
148,La Liga,Spain,2018/2019,2019-03-05,Real Sociedad,Sevilla,1,1
149,La Liga,Spain,2018/2019,2018-11-17,Real Sociedad,Valencia,1,0
150,La Liga,Spain,2018/2019,2018-11-11,Real Sociedad,Villarreal,1,1
151,La Liga,Spain,2018/2019,2019-01-07,Real Sociedad,Athletic Bilbao,2,1
152,La Liga,Spain,2018/2019,2019-02-21,Real Sociedad,Real Betis,0,2
153,La Liga,Spain,2018/2019,2019-02-08,Real Sociedad,Getafe,1,2
